Реестровый номер закупки,Наименование закупки,Идентификационный код закупки,Начальная (максимальная) цена контракта
№32515210968,"Поставка угля энергетического ГКО  для нужд котельной ООО ""ХЭС ЧЕГДОМЫН"""" в рп Новый Ургал ",,49257000.0
№0358100010325000040,Автомобиль легковой,'251616805309961630100100470402910244',2903000.0
№32515210999,Оказание услуги по техническому обслуживанию и ремонту автоматической системы дымоудаления,,16456.9
№1001200000625000113,"Поставка лекарственных препаратов для медицинского применения (Флувоксамин, Эсциталопрам)",'252027416202802760100101390012120244',710578.0
№32515210998,Поставка товара,,1832000.0
№0316300026325000010,"Поставка спортивной экипировки (кроссовки) для нужд Муниципального учреждения дополнительного образования Спортивная школа единоборств «ЭРЭЛ» города Нерюнгри, в соответствии с требованиями федеральных стандартов по виду спорта «северное многоборье»",'253143401168814340100100560011520244',171500.07
№0862600022125000019,отвод стальной,'253667701551766770100100450012420244',220104.0
№0356500006425000418,Поставка лекарственного препарата для медицинского применения  (Инфликсимаб),'252590438313059040100105210010000244',732451.72
№0356500006425000417,Поставка лекарственного препарата для медицинского применения  (Алтеплаза),'252590438313059040100105190010000244',1444552.69
№0848300041225000287,Выполнение работ по созданию и ремонту пешеходных коммуникаций,'253505000215450500100101450014211244',2607912.67
№32515211010,№ 14/09/2025 на право заключения договора на проведение замеров (экспертизы) сопротивления электроизоляции в многоквартирных жилых домах,,682869.2
№32515210995,Оказание услуг по техническому обслуживанию и ремонту электрических сетей и электрического оборудования ,,36093.99
№0356500006425000416,Поставка лекарственного препарата для медицинского применения  (Омализумаб),'252590438313059040100105200010000244',540529.14
№0348300139625000324,Лекарственные препараты для медицинского применения (ЛЕВИЛИМАБ),'253501003629150100100104550012120244',968000.26
№32515210993,Оказание услуги по техническому обслуживанию и ремонту внутренних сетей тепловодоснабжения и канализации,,59502.84
№0356500006425000415,"Поставка лекарственного препарата для медицинского применения (Рекомбинантный белок, содержащий аминокислотную последовательность стафилокиназы)",'252590438313059040100105230010000244',1178174.9
№0316300026325000009,"Поставка спортивной экипировки (шиповки) для нужд Муниципального учреждения дополнительного образования Спортивная школа единоборств «ЭРЭЛ» города Нерюнгри, в соответствии с требованиями федеральных стандартов по виду спорта «северное многоборье»",'253143401168814340100100550011520244',82000.0
№0318200028125001064,"Поставка изделий медицинского назначения (перчатки хирургические, перчатки смотровые)",'252230903913423090100112420012219244',594710.0
№0356500006425000414,"Поставка лекарственного препарата для медицинского применения (Амикацин, Ципрофлоксацин, Моксифлоксацин)",'252590438313059040100105220010000244',77547.79
№0862600022125000018,фланец,'253667701551766770100100440012814244',75832.0
№0348500003825000048,"Поставка наконечников для диагностики маркеров инфекционных заболеваний методом иммуноферментного анализа на анализаторе Evolis для нужд ГБУЗ МО ""МОЦК"" в 2025 году",'252772085497977200100101310013250244',1063125.0
№32515210979,Приобретение спортивного инвентаря для вида спорта лыжные гонки,,1676540.0
№0351300069025000628,"Поставка расходных материалов: для анализатора иммуногематологического ORTHO BIOVUE (заявка № М-169/25, М-14/26)",'252540110990354010100105620012120244',277872.92
№0373200074825000725,Поставка медицинских расходных материалов Сван-Ганца для нужд ГКБ №1 им. Н.И.Пирогова,'252770605585477060100106890010000244',1225557.5
№0390300000525000024,Изделия сухарные,'253890900109189090100100390240000244',43500.0
№0348300139625000323,Лекарственные препараты для химиотерапии (РИТУКСИМАБ),'253501003629150100100104510012120244',2937550.0
№0312300091225000009,Клавиатура,'253170104609017010100101250070000242',50166.0
№0351300069025000634,Поставка расходных материалов и реактивов для анализатора кислотно-щелочного и газового состава крови ABL-800 Flex (заявка № М-18-1/26),'252540110990354010100106000010000244',2836059.18
№0312300091225000008,Батарея аккумуляторная свинцово-кислотная стационарная,'253170104609017010100101250090000242',35060.0
№0312300091225000007,Источник питания постоянного тока,'253170104609017010100101250080000242',14400.0
№0387300014225000006,3D-принтер FDM,'253861700761086170100100590060000244',280086.67
№32515211005,Выполнение работ по разработке проектно-сметной документации по капитальному ремонту общего имущества в МКД (Лот 4),,5515335.77
№32515211004,Выполнение работ по разработке проектно-сметной документации по капитальному ремонту общего имущества в МКД (Лот 2),,11596837.78
№0351300069025000638,Поставка расходных материалов и реактивов для анализатора кислотно-щелочного и газового состава крови ABL-800 Flex (заявка № М-18-3/26),'252540110990354010100106000040000244',39725.24
№32515211003,Выполнение работ по разработке проектно-сметной документации по капитальному ремонту общего имущества в МКД (Лот 1),,3811488.07
№0862600022125000017,вата минеральная,'253667701551766770100100480012399244',806382.0
№32515211001,Выполнение работ по разработке проектно-сметной документации по капитальному ремонту общего имущества в МКД (Лот 5),,5887379.36
№0351300069025000637,Поставка лекарственных препаратов : мнн Даратумумаб (заявка А-79/26),'252540110990354010100106170012120244',4271850.0
№0711200011025000609,Поставка расходных материалов,'252165901366016590100106940013250244',433100.0
№0862300007825000050,"Ремонт обелиска в честь погибших  воинов «В память о воинах-земляках погибших в годы Великой Отечественной войны 1941-1945» расположенного по адресу: Свердловская область, пгт.Пышма, ул.Куйбышева, 46, площадь возле ЦДО",'253661301047166330100100390014399244',1151143.73
№0351300069025000636,Поставка лекарственных препаратов (Даратумумаб А-307/25),'252540110990354010100106080012120244',4271850.0
№0362400002725000003,"Техническое обслуживание и ремонт, с заменой и установкой запасных частей и расходных материалов для автомобиля Lada Largus 2024 года выпуска. ",'251771618221066854300100160014520244',22879.86
№0165300002425000188,Многофункциональное устройство (МФУ),'253700400207270040100100110300000244',143053.34
№0351300069025000635,Поставка расходных материалов и реактивов для анализатора кислотно-щелочного и газового состава крови ABL-800 Flex (заявка № М-18-2/26),'252540110990354010100106000030000244',31110.0
№0342300020025000012,Поставка автомобильного топлива,'253637519478963750100100150011920244',829318.0
№32515210898,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. Рабочая, ул. Рогожская, ул. 3-го Интернационала, ул. Лебедевой от котельной «Огородная», расположенной по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Рабочая, д. 70а (в т.ч. ПИР)""",,107397530.0
№32515180866,"Оказание услуг по приемке, разгрузке/погрузке, хранению, отпуску каменного угля  для нужд ООО «Ижморская ТеплоГенерация».",,0.0
№32515172663,Поставка изделий из цветных металлов,,3767344.73
№0348300139625000322,Лекарственные препараты для медицинского применения (Лот 12.2) на второе полугодие 2025 г.,'253501003629150100100104530012120244',997945.3
№0301200056825000004,Многофункциональное устройство (МФУ),'252027409044702770100100290030000244',1085766.6
№32515210884,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. Советская от котельной «Молзино», расположенной по адресу: Московская область, Богородский г.о., д. Молзино, ул. Советская, д. 89а (в т.ч. ПИР)""",,32619750.0
№32515210888,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. Удалая от котельной «Воскресенское», расположенной по адресу: Московская область, Богородский г.о., с. Воскресенское (в т.ч. ПИР)""",,25955500.0
№0136500001125005309,Поставка лекарственных препаратов для медицинского применения (Гозерелин) на 2025 год,'252690504495069500100100052850000323',790546.2
№0165300002425000187,Многофункциональное устройство (МФУ),'253700400207270040100100110290000244',143053.34
№32515210893,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. 3-го Интернационала, ул. Толстовская, ул. Трудовая, ул. Рогожская, ул. Соборная от ЦТП-2 котельной «Огородная», расположенного по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Рогожская, д. 97 (в т.ч. ПИР)""",,88577930.0
№32515210896,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. Рогожская, ул. Лебедевой от ЦТП-1 котельной «Огородная», расположенного по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Рабочая, д. 72б (в т.ч. ПИР)""",,13538950.0
№32515210472,"выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации объекта капитального строительства по мероприятию: ""Капитальный ремонт ЦТП-1 котельной «Полигон», расположенного по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Чапаева, д. 79а (в т.ч. ПИР)""",,37983190.0
№32515210883,"выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации объекта капитального строительства по мероприятию: ""Капитальный ремонт ЦТП-2 котельной «Огородная», расположенного по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Рогожская, д. 97 (в т.ч. ПИР)""",,63305320.0
№32515180920,Поставка угля каменного марки ДР 0-200(300)  для нужд котельных ООО «Ижморская ТеплоГенерация».,,0.0
№32515210994,"Поставка щебня и отсева гранитного розового/красного для нужд Государственного Музея-заповедника ""Царское Село""",,1453766.4
№0304200002925000310,Поставка лекарственных препаратов.,'252071103558607250100100021220000244',280600.0
№0351300069025000633,лекарственных препаратов (заявка № А-283/25),'252540110990354010100106090012120244',4739280.0
№0304200002925000309,Поставка лекарственных препаратов.,'252071103558607250100100021210000244',900000.0
№0304200002925000308,Поставка лекарственных препаратов.,'252071103558607250100100021200000244',600000.0
№0170500008625000234,Поставка лекарственного препарата для медицинского применения МНН: Дапсон в пользу граждан в целях их социального обеспечения,'252900102453090010100103090012120323',9020.0
№0170500008625000235,Поставка лекарственного препарата для медицинского применения МНН: Ламивудин в пользу граждан в целях их социального обеспечения,'252900102453090010100103080012120323',1113702.0
№0170500008625000236,Поставка лекарственного препарата для медицинского применения МНН: Тенофовир в пользу граждан в целях их социального обеспечения,'252900102453090010100103070012120323',6566313.6
№0170500008625000237,Поставка лекарственного препарата для медицинского применения МНН: Элсульфавирин в пользу граждан в целях их социального обеспечения,'252900102453090010100103060012120323',5059695.6
№0170500008625000238,"Поставка медицинских изделий ""Игла для автоинъектора"" в пользу граждан в целях их социального обеспечения",'252900102453090010100103100013250323',20942000.0
№0170500008625000239,Поставка лекарственного препарата для медицинского применения МНН: Даклатасвир в пользу граждан в целях их социального обеспечения,'252900102453090010100103050012120323',11325514.2
№0170500008625000240,Поставка лекарственного препарата для медицинского применения МНН: Софосбувир в пользу граждан в целях их социального обеспечения,'252900102453090010100103040012120323',18450071.64
№0318600012525000019,Ветеринарные препараты: Ксилазин,'253231023957923100100100630030000244',173406.0
№0170500008625000241,Поставка лекарственного препарата для медицинского применения МНН: Гликлазид в пользу граждан в целях их социального обеспечения,'252900102453090010100103550012120323',1242000.0
№0170500008625000242,Поставка лекарственного препарата для медицинского применения МНН: Вилдаглиптин в пользу граждан в целях их социального обеспечения,'252900102453090010100103540022120323',393680.0
№0170500008625000243,"Поставка медицинских изделий Глюкоза ИВД, реагент в пользу граждан в целях их социального обеспечения",'252900102453090010100103110012120323',20340000.0
№0170500008625000244,Поставка лекарственного препарата для медицинского применения МНН: Десмопрессин в пользу граждан в целях их социального обеспечения,'252900102453090010100103530012120323',349020.0
№0170500008625000245,Поставка лекарственного препарата для медицинского применения МНН: Метформин в пользу граждан в целях их социального обеспечения,'252900102453090010100103520012120323',526680.0
№0170500008625000246,Поставка лекарственного препарата для медицинского применения МНН: Инсулин гларгин+ликсисенатид в пользу граждан в целях их социального обеспечения,'252900102453090010100103450012120323',39429.99
№0321500000525000221,"Пробирка вакуумная для взятия образцов крови ИВД, с натрия цитратом",'252262702668226270100100190150000244',138000.0
№0170500008625000247,Поставка лекарственного препарата для медицинского применения МНН: Дапаглифлозин в пользу граждан в целях их социального обеспечения,'252900102453090010100103500012120323',1195125.0
№0170500008625000248,Поставка лекарственного препарата для медицинского применения МНН: Метформин в пользу граждан в целях их социального обеспечения,'252900102453090010100103510012120323',1596000.0
№0170500008625000249,Поставка лекарственного препарата для медицинского применения МНН: Эмпаглифлозин в пользу граждан в целях их социального обеспечения,'252900102453090010100103490012120323',4696320.0
№0170500008625000250,Поставка лекарственного препарата для медицинского применения МНН: Инсулин – изофан (человеческий генно-инженерный) в пользу граждан в целях их социального обеспечения,'252900102453090010100103480012120323',5149440.0
№0170500008625000251,Поставка лекарственного препарата для медицинского применения МНН: Инсулин гларгин в пользу граждан в целях их социального обеспечения,'252900102453090010100103470012120323',227092.5
№0170500008625000252,Поставка лекарственного препарата для медицинского применения МНН: Инсулин гларгин в пользу граждан в целях их социального обеспечения,'252900102453090010100103460012120323',6539400.0
№32515210989,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации объекта капитального строительства по мероприятию: ""Капитальный ремонт ЦТП-1 котельной «Огородная», расположенного по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Рабочая, д. 72б (в т.ч. ПИР)""",,94957980.0
№32515210988,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации объекта капитального строительства по мероприятию: ""Капитальный ремонт котельной «Полигон», расположенной по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Чапаева, д. 9а (в т.ч. ПИР)""",,176379470.0
№32515210987,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. Ильича, ул. Ремесленная от ЦТП «Ремесленная» котельной №2 (ОКФ), расположенного по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Ремесленная, д. 6а (в т.ч. ПИР)""",,79830700.0
№32515210986,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. Ильича, ул. Чапаева, ул. Рузинский проезд от ЦТП-1 котельной «Полигон», расположенного по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Чапаева, д. 79а (в т.ч. ПИР)""",,116308700.0
№32515210985,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. Краснослободская, ул. Аптечный переулок, ул. Площадь Ленина, ул. Ремесленная от ЦТП «Баня» котельной №2 (ОКФ), расположенного по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Площадь Ильича, д. 12 (в т.ч. ПИР)""",,99016800.0
№0170500008625000253,Поставка лекарственного препарата для медицинского применения МНН: Инсулин деглудек в пользу граждан в целях их социального обеспечения,'252900102453090010100103400012120323',3608760.0
№32515210984,"Выполнение работ и оказание услуг, связанных с одновременной подготовкой проектной документации линейного объекта по мероприятию: ""Капитальный ремонт участков тепловых сетей по ул. Чапаева, ул. Ильича от котельной Полигон», расположенной по адресу: Московская область, Богородский г.о., г. Ногинск, ул. Чапаева, д. 9а (в т.ч. ПИР)""",,181705990.0
№0165300002425000186,Многофункциональное устройство (МФУ),'253700400207270040100100110280000244',109447.34
№0170500008625000254,Поставка лекарственного препарата для медицинского применения МНН: Инсулин глулизин в пользу граждан в целях их социального обеспечения,'252900102453090010100103440012120323',589365.0
№0170500008625000255,Поставка лекарственного препарата для медицинского применения МНН: Инсулин детемир в пользу граждан в целях их социального обеспечения,'252900102453090010100103430012120323',1826370.0
№0170500008625000256,Поставка лекарственного препарата для медицинского применения МНН: Инсулин аспарт двухфазный в пользу граждан в целях их социального обеспечения,'252900102453090010100103420012120323',1096095.0
№0387200010825000018,Оказание услуг по физической (круглосуточной) охране объектов,'252860804085186080100100610018010244',8654880.0
№0170500008625000257,Поставка лекарственного препарата для медицинского применения МНН: Инсулин аспарт в пользу граждан в целях их социального обеспечения,'252900102453090010100103410012120323',16038000.0
№0302100000925000035,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение,'251032602318703260100100840015829242',468100.0
№0507500000325000517,Поставка лекарственного препарата «ЭНАЛАПРИЛ»,'252110148756911010100102970022120000',233472.0
№0507500000325000516,Поставка сенсора для чрезкожного мониторинга глюкозы (GuardianTM Sensor (3)) по решению врачебной комиссии,'252110148756911010100102980023250000',215111.05
№32515210983,"Работы  по разработке принципиальной схемы РЗА, монтажу схемы РЗА и новому включению РЗА, и наладке РЗА на объекте «Строительство компонентов ОРУ-110 кВ ПС СЦБК 110/6, территориальный округ Северный, г. Архангельска, ул. Кировская» ",,550000.0
№0507500000325000515,Поставка лекарственного препарата «ВОРИКОНАЗОЛ»,'252110148756911010100102960022120000',454843.2
№0507500000325000514,Поставка лекарственного препарата «АЛПЕЛИСИБ»,'252110148756911010100102950022120000',15576531.6
№32515210973,"Поставка, установка и настройка программно-аппаратного комплекса «Континент» для защиты каналов связи сертифицированными средствами защиты информации ",,1864973.0
№32515210972,Лицензия на операционную систему специального назначения «Astra Linux Special Edition»,,6823800.0
№32515210971,Источник бесперебойного питания  SVEN Pro 1000 (SV-013868) ,,1704930.0
№32515210970,"23.8"" Монитор SunWind SM-24FI221 черный",,3745017.0
№32515210969,"Мини ПК iRU 110JLCN (Intel Celeron N5105, 4 x 2 ГГц, 8 ГБ DDR4, SSD 256 ГБ, без ОС, 2 x HDMI, Wi-Fi, Bluetooth, SoC, блок питания - 30 Вт)",,4498810.0
№0348200080925000159,"Выполнение работ по текущему ремонту физиокабинетов (Егорьевский, Одинцовский, Подольский филиалы)",'252770220754577020100102100014120244',1681541.01
№32515210967,"(N-ONOFF-GU-N-P1-PZU12-ST) - МойОфис - Офис онлайн. На пользователя для государственных заказчиков, без ограничения срока действия, с правом на получение обновлений в течение 1 года ",,3906000.0
